,specobjid,objid8,ra,dec,Gtype
0,299490501608892416,1237650795146576030,146.8598,-0.8089167,UN
1,299491051364706304,1237651800159027582,146.9639,-0.5450278,UN
2,299492150876334080,1237651800158896649,146.728,-0.5568611,UN
3,299492425754241024,1237650795146510627,146.7441,-0.6522222,UN
4,299492700632147968,1237650795146444862,146.5927,-0.76025,UN
5,299492975510054912,1237650795146576091,146.9341,-0.6704167,UN
6,299493525265868800,1237651800159027384,146.95,-0.5922222,S
7,299494075021682688,1237650795146445031,146.6286,-0.7651389,S
8,299494624777496576,1237650795146575935,146.8577,-0.6628889,UN
9,299494899655403520,1237650795146641532,146.9635,-0.7593333,UN
10,299495174533310464,1237650795683512690,147.0378,-0.2665833,UN
11,299495999167031296,1237648721216274697,147.0234,-0.1601111,UN
12,299496274044938240,1237648721216274666,146.9108,-0.07458334,UN
13,299496548922845184,1237650795683512507,146.9561,-0.3423056,UN
14,299496823800752128,1237650795683446969,146.9201,-0.3064722,UN
15,299498473068193792,1237650796220514489,147.3295,0.02888889,S
16,299499022824007680,1237648721216405657,147.248,-0.03572222,UN
17,299499297701914624,1237648720679469274,147.1868,-0.4938056,UN
18,299499572579821568,1237648721216340148,147.1146,-0.1652222,UN
19,299502871114704896,1237648720142336237,146.5713,-0.9571944,S
20,299504245504239616,1237648720142336185,146.5128,-0.8457778,S
21,299504520382146560,1237650795146379400,146.3603,-0.8166944,UN
22,299504795260053504,1237650795146314028,146.3118,-0.8132222,UN
23,299505894771681280,1237650795146379447,146.4483,-0.7134445,UN
24,299506169649588224,1237650795683447045,146.9023,-0.3136667,UN
25,299506444527495168,1237648720679338241,146.8643,-0.4640556,UN
26,299506719405402112,1237650795683381521,146.7885,-0.3107222,UN
27,299506994283309056,1237650795683381563,146.7771,-0.2420278,UN
28,299507818917029888,1237648720679338261,146.8916,-0.5126666,UN
29,299508368672843776,1237650795683446947,146.9012,-0.4131667,UN
30,299508643550750720,1237648720679338252,146.8833,-0.4946944,UN
31,299508918428657664,1237650795683446896,146.8576,-0.2188056,S
32,299509193306564608,1237650795683446889,146.8568,-0.2740833,UN
33,299509468184471552,1237648721216209055,146.812,-0.1900555,E
34,299510017940285440,1237648721216209266,146.756,-0.1682222,UN
35,299510567696099328,1237648720679338392,146.8681,-0.4867222,UN
36,299510842574006272,1237648721216209095,146.8597,-0.09894445,UN
37,299511117451913216,1237650796220252232,146.7608,0.01594444,S
38,299511392329820160,1237650796220317797,146.8091,0.02636111,UN
39,299514690864703488,1237650795146248321,146.0937,-0.7931111,S
40,299515240620517376,1237648720142139633,146.1183,-0.8681667,S
41,299515515498424320,1237650795146248304,146.0794,-0.6809722,UN
42,299516065254238208,1237650795146248369,146.1355,-0.6821945,E
43,299516889887959040,1237650795146248378,146.1436,-0.7416389,UN
44,299517714521679872,1237648720679272605,146.7417,-0.5246667,UN
45,299517989399586816,1237648721216143430,146.6036,-0.1914722,S
46,299518264277493760,1237650795683381502,146.7517,-0.4083889,UN
47,299518539155400704,1237648720679272634,146.6296,-0.4656667,S
48,299518814033307648,1237650795683250403,146.4905,-0.3693333,UN
49,299519363789121536,1237650795683381472,146.7371,-0.2521944,E
50,299519638667028480,1237650795683315926,146.5756,-0.2912778,UN
51,299519913544935424,1237648721216143450,146.6349,-0.1922778,UN
52,299520188422842368,1237650796220252301,146.729,0.02694444,UN
53,299520463300749312,1237650795683381380,146.6436,-0.3313611,E
54,299520738178656256,1237648721216143524,146.6613,-0.1033611,S
55,299521013056563200,1237650795683381498,146.748,-0.2683056,S
56,299521287934470144,1237648721216078463,146.5945,-0.1331389,S
57,299521562812377088,1237650795683381426,146.6957,-0.2869444,E
58,299521837690284032,1237650796220186869,146.6307,0.07097222,UN
59,299522112568190976,1237650795683315881,146.6063,-0.2132222,UN
60,299522387446097920,1237650796220186902,146.6081,0.04766667,UN
61,299522662324004864,1237648720142008580,145.8181,-0.8789722,E
62,299525685980981248,1237650795146182819,145.9379,-0.7339723,UN
63,299526510614702080,1237648720142008515,145.8216,-0.8466111,UN
64,299526785492609024,1237648720678944894,145.8745,-0.60875,S
65,299528159882143744,1237648721215946942,146.2998,-0.12,S
66,299528434760050688,1237648721216012368,146.4337,-0.1056667,S
67,299529259393771520,1237650796220121111,146.3699,0.08219445,UN
68,299529809149585408,1237650795683250311,146.3521,-0.3327222,UN
69,299530084027492352,1237650796220121207,146.3471,0.07541667,S
70,299530358905399296,1237650795683250349,146.3814,-0.3865,S
71,299530633783306240,1237650795683250326,146.3738,-0.3684444,UN
72,299530908661213184,1237650796220055738,146.3009,0.03547222,UN
73,299531458417027072,1237648721216012470,146.3558,-0.1433889,UN
74,299531733294934016,1237648721216078045,146.4689,-0.09283333,E
75,299532008172840960,1237650795683250319,146.3654,-0.3435556,UN
76,299532283050747904,1237650795683184841,146.3297,-0.30625,UN
77,299533107684468736,1237650795683250364,146.399,-0.3504167,S
78,299533382562375680,1237650796220121127,146.3997,0.03222222,S
79,299533657440282624,1237650796219924680,146.0234,0.022,S
80,299533932318189568,1237650795683184774,146.2802,-0.4069445,UN
81,299534207196096512,1237648721215946868,146.1656,-0.06416667,E
82,299534482074003456,1237648721215881355,146.0665,-0.0009166666,UN
83,299535031829817344,1237650796220055691,146.2318,0.06822222,UN
84,299535581585631232,1237648721215881342,146.0573,-0.09702778,E
85,299535856463538176,1237648721215815939,145.9939,-0.1358611,UN
86,299536131341445120,1237650795683053764,145.9876,-0.3425278,S
87,299536406219352064,1237650796220055688,146.2278,0.04355555,UN
88,299537230853072896,1237648721215946862,146.1623,-0.02241667,UN
89,299537505730979840,1237650795683119378,146.1055,-0.2854167,UN
90,299537780608886784,1237648721215946884,146.1933,-0.03886111,UN
91,299538880120514560,1237650795683184714,146.2222,-0.3759167,UN
92,299539704754235392,1237650796219859174,145.8485,0.05133333,UN
93,299540529387956224,1237648721215815838,145.8774,-0.05019445,S
94,299541079143770112,1237650795683053709,145.9059,-0.3683611,UN
95,299541354021677056,1237648720678944999,145.8911,-0.4670556,S
96,299541903777490944,1237648721215815722,145.8765,-0.011,UN
97,299542178655397888,1237650796219859159,145.8369,0.002916667,UN
98,299542453533304832,1237650796219859039,145.8656,0.05619444,UN
99,299542728411211776,1237648721215750366,145.8227,-0.1602778,UN
100,299543003289118720,1237650796219859138,145.8252,0.04316667,UN
101,299543278167025664,1237650796219859165,145.8442,0.03072222,UN
102,299543553044932608,1237650796219859194,145.8653,0.08963889,S
103,299543827922839552,1237650795682988326,145.8925,-0.3362778,UN
104,299544377678653440,1237650796219924629,145.9502,0.07205556,UN
105,299544927434467328,1237648720141943100,145.6811,-0.8672222,UN
106,299546576701908992,1237650795146051733,145.6479,-0.7717222,UN
107,299546851579815936,1237650795146051731,145.6452,-0.8155,UN
108,299547401335629824,1237650795146051757,145.6785,-0.7913611,UN
109,299547676213536768,1237650795146117231,145.7541,-0.7533889,S
110,299547951091443712,1237650795146117247,145.7597,-0.8138889,UN
111,299548225969350656,1237650795146051832,145.6434,-0.6847778,S
112,299548500847257600,1237650795146051795,145.7089,-0.7476667,S
113,299549600358885376,1237648720678879482,145.7811,-0.6053611,UN
114,299550699870513152,1237648721215684759,145.5983,-0.2021944,UN
115,299550974748420096,1237648721215750275,145.7027,-0.04855556,UN
116,299551524504233984,1237648720678879348,145.722,-0.5271667,E
117,299551799382140928,1237648721215750297,145.7447,-0.07636111,S
118,299552624015861760,1237650795682922788,145.6691,-0.421,UN
119,299552898893768704,1237648721215750163,145.7372,-0.06102778,UN
120,299553448649582592,1237648721215684828,145.6894,-0.01133333,S
121,299553723527489536,1237648721215750320,145.7784,-0.1345556,UN
122,299553998405396480,1237648721215684769,145.6012,-0.001388889,S
123,299554823039117312,1237650796219793563,145.6695,0.1116944,UN
124,299555097917024256,1237650796219793525,145.6223,0.03461111,S
125,299555372794931200,1237648704023757044,145.8012,-0.2111111,S
126,299556197428652032,1237650795145920732,145.3882,-0.69225,UN
127,299556472306558976,1237650795145986270,145.4963,-0.73675,UN
128,299556747184465920,1237650795145920799,145.4396,-0.6451945,UN
129,299558396451907584,1237648720141877432,145.4632,-0.8442222,UN
130,299558671329814528,1237650795145986369,145.5575,-0.6931944,UN
131,299558946207721472,1237650795145986295,145.5262,-0.7474167,E
132,299559495963535360,1237650795145920729,145.3782,-0.6742778,UN
133,299559770841442304,1237650795145920759,145.3984,-0.6708889,UN
134,299560045719349248,1237650795145986089,145.4873,-0.8069167,S
135,299560870353070080,1237648720678682916,145.3943,-0.5576389,UN
136,299561145230977024,1237650795682791646,145.4068,-0.3143611,UN
137,299561420108883968,1237650795682791609,145.3647,-0.34275,UN
138,299562519620511744,1237648720678748371,145.5163,-0.5191666,UN
139,299563344254232576,1237648721215553783,145.3961,-0.09122222,S
140,299564443765860352,1237650796219662565,145.427,0.04958333,UN
141,299564718643767296,1237650796219662509,145.3475,0.05438889,UN
142,299564993521674240,1237650796219662548,145.4131,0.1064722,S
143,299565268399581184,1237648721215619221,145.4455,-0.1226667,UN
144,299565543277488128,1237650796219728015,145.4467,0.07738889,S
145,299565818155395072,1237650796219728147,145.4542,0.03913889,UN
