#Table1
specobjid,objid8,ra,dec,spiral,elliptical,uncertain
299490501608892416,1237650795146576030,146.8598,-0.8089167,0,0,1
299491051364706304,1237651800159027582,146.9639,-0.5450278,0,0,1
299492150876334080,1237651800158896649,146.728,-0.5568611,0,0,1
299492425754241024,1237650795146510627,146.7441,-0.6522222,0,0,1
299492700632147968,1237650795146444862,146.5927,-0.76025,0,0,1
299492975510054912,1237650795146576091,146.9341,-0.6704167,0,0,1
299493525265868800,1237651800159027384,146.95,-0.5922222,1,0,0
299494075021682688,1237650795146445031,146.6286,-0.7651389,1,0,0
299494624777496576,1237650795146575935,146.8577,-0.6628889,0,0,1
299494899655403520,1237650795146641532,146.9635,-0.7593333,0,0,1
299495174533310464,1237650795683512690,147.0378,-0.2665833,0,0,1
299495999167031296,1237648721216274697,147.0234,-0.1601111,0,0,1
299496274044938240,1237648721216274666,146.9108,-0.07458334,0,0,1
299496548922845184,1237650795683512507,146.9561,-0.3423056,0,0,1
299496823800752128,1237650795683446969,146.9201,-0.3064722,0,0,1
299498473068193792,1237650796220514489,147.3295,0.02888889,1,0,0
299499022824007680,1237648721216405657,147.248,-0.03572222,0,0,1
299499297701914624,1237648720679469274,147.1868,-0.4938056,0,0,1
299499572579821568,1237648721216340148,147.1146,-0.1652222,0,0,1
299502871114704896,1237648720142336237,146.5713,-0.9571944,1,0,0
299504245504239616,1237648720142336185,146.5128,-0.8457778,1,0,0
299504520382146560,1237650795146379400,146.3603,-0.8166944,0,0,1
299504795260053504,1237650795146314028,146.3118,-0.8132222,0,0,1
299505894771681280,1237650795146379447,146.4483,-0.7134445,0,0,1
299506169649588224,1237650795683447045,146.9023,-0.3136667,0,0,1
299506444527495168,1237648720679338241,146.8643,-0.4640556,0,0,1
299506719405402112,1237650795683381521,146.7885,-0.3107222,0,0,1
299506994283309056,1237650795683381563,146.7771,-0.2420278,0,0,1
299507818917029888,1237648720679338261,146.8916,-0.5126666,0,0,1
299508368672843776,1237650795683446947,146.9012,-0.4131667,0,0,1
299508643550750720,1237648720679338252,146.8833,-0.4946944,0,0,1
299508918428657664,1237650795683446896,146.8576,-0.2188056,1,0,0
299509193306564608,1237650795683446889,146.8568,-0.2740833,0,0,1
299509468184471552,1237648721216209055,146.812,-0.1900555,0,1,0
299510017940285440,1237648721216209266,146.756,-0.1682222,0,0,1
299510567696099328,1237648720679338392,146.8681,-0.4867222,0,0,1
299510842574006272,1237648721216209095,146.8597,-0.09894445,0,0,1
299511117451913216,1237650796220252232,146.7608,0.01594444,1,0,0
299511392329820160,1237650796220317797,146.8091,0.02636111,0,0,1
299514690864703488,1237650795146248321,146.0937,-0.7931111,1,0,0
299515240620517376,1237648720142139633,146.1183,-0.8681667,1,0,0
299515515498424320,1237650795146248304,146.0794,-0.6809722,0,0,1
299516065254238208,1237650795146248369,146.1355,-0.6821945,0,1,0
299516889887959040,1237650795146248378,146.1436,-0.7416389,0,0,1
299517714521679872,1237648720679272605,146.7417,-0.5246667,0,0,1
299517989399586816,1237648721216143430,146.6036,-0.1914722,1,0,0
299518264277493760,1237650795683381502,146.7517,-0.4083889,0,0,1
299518539155400704,1237648720679272634,146.6296,-0.4656667,1,0,0
299518814033307648,1237650795683250403,146.4905,-0.3693333,0,0,1
299519363789121536,1237650795683381472,146.7371,-0.2521944,0,1,0
299519638667028480,1237650795683315926,146.5756,-0.2912778,0,0,1
299519913544935424,1237648721216143450,146.6349,-0.1922778,0,0,1
299520188422842368,1237650796220252301,146.729,0.02694444,0,0,1
299520463300749312,1237650795683381380,146.6436,-0.3313611,0,1,0
299520738178656256,1237648721216143524,146.6613,-0.1033611,1,0,0
299521013056563200,1237650795683381498,146.748,-0.2683056,1,0,0
299521287934470144,1237648721216078463,146.5945,-0.1331389,1,0,0
299521562812377088,1237650795683381426,146.6957,-0.2869444,0,1,0
299521837690284032,1237650796220186869,146.6307,0.07097222,0,0,1
299522112568190976,1237650795683315881,146.6063,-0.2132222,0,0,1
299522387446097920,1237650796220186902,146.6081,0.04766667,0,0,1
299522662324004864,1237648720142008580,145.8181,-0.8789722,0,1,0
299525685980981248,1237650795146182819,145.9379,-0.7339723,0,0,1
299526510614702080,1237648720142008515,145.8216,-0.8466111,0,0,1
299526785492609024,1237648720678944894,145.8745,-0.60875,1,0,0
299528159882143744,1237648721215946942,146.2998,-0.12,1,0,0
299528434760050688,1237648721216012368,146.4337,-0.1056667,1,0,0
299529259393771520,1237650796220121111,146.3699,0.08219445,0,0,1
299529809149585408,1237650795683250311,146.3521,-0.3327222,0,0,1
299530084027492352,1237650796220121207,146.3471,0.07541667,1,0,0
299530358905399296,1237650795683250349,146.3814,-0.3865,1,0,0
299530633783306240,1237650795683250326,146.3738,-0.3684444,0,0,1
299530908661213184,1237650796220055738,146.3009,0.03547222,0,0,1
299531458417027072,1237648721216012470,146.3558,-0.1433889,0,0,1
299531733294934016,1237648721216078045,146.4689,-0.09283333,0,1,0
299532008172840960,1237650795683250319,146.3654,-0.3435556,0,0,1
299532283050747904,1237650795683184841,146.3297,-0.30625,0,0,1
299533107684468736,1237650795683250364,146.399,-0.3504167,1,0,0
299533382562375680,1237650796220121127,146.3997,0.03222222,1,0,0
299533657440282624,1237650796219924680,146.0234,0.022,1,0,0
299533932318189568,1237650795683184774,146.2802,-0.4069445,0,0,1
299534207196096512,1237648721215946868,146.1656,-0.06416667,0,1,0
299534482074003456,1237648721215881355,146.0665,-0.0009166666,0,0,1
299535031829817344,1237650796220055691,146.2318,0.06822222,0,0,1
299535581585631232,1237648721215881342,146.0573,-0.09702778,0,1,0
299535856463538176,1237648721215815939,145.9939,-0.1358611,0,0,1
299536131341445120,1237650795683053764,145.9876,-0.3425278,1,0,0
299536406219352064,1237650796220055688,146.2278,0.04355555,0,0,1
299537230853072896,1237648721215946862,146.1623,-0.02241667,0,0,1
299537505730979840,1237650795683119378,146.1055,-0.2854167,0,0,1
299537780608886784,1237648721215946884,146.1933,-0.03886111,0,0,1
