#Table1
specobjid,dr8objid,ra,dec,t01_smooth_or_features_a01_smooth_flag,t01_smooth_or_features_a02_features_or_disk_flag,t01_smooth_or_features_a03_star_or_artifact_flag,t02_edgeon_a04_yes_flag,t02_edgeon_a05_no_flag,t03_bar_a06_bar_flag,t03_bar_a07_no_bar_flag,t04_spiral_a08_spiral_flag,t04_spiral_a09_no_spiral_flag,t05_bulge_prominence_a10_no_bulge_flag,t05_bulge_prominence_a11_just_noticeable_flag,t05_bulge_prominence_a12_obvious_flag,t05_bulge_prominence_a13_dominant_flag,t06_odd_a14_yes_flag,t06_odd_a15_no_flag,t07_rounded_a16_completely_round_flag,t07_rounded_a17_in_between_flag,t07_rounded_a18_cigar_shaped_flag,t08_odd_feature_a19_ring_flag,t08_odd_feature_a20_lens_or_arc_flag,t08_odd_feature_a21_disturbed_flag,t08_odd_feature_a22_irregular_flag,t08_odd_feature_a23_other_flag,t08_odd_feature_a24_merger_flag,t08_odd_feature_a38_dust_lane_flag,t09_bulge_shape_a25_rounded_flag,t09_bulge_shape_a26_boxy_flag,t09_bulge_shape_a27_no_bulge_flag,t10_arms_winding_a28_tight_flag,t10_arms_winding_a29_medium_flag,t10_arms_winding_a30_loose_flag,t11_arms_number_a31_1_flag,t11_arms_number_a32_2_flag,t11_arms_number_a33_3_flag,t11_arms_number_a34_4_flag,t11_arms_number_a36_more_than_4_flag,t11_arms_number_a37_cant_tell_flag
323189382297184256,1237648702966268030,182.9253,-1.092357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
323189932052998144,1237648702966268062,182.9701,-1.219537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
323189657175091200,1237648702966333581,183.0286,-1.072705,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
323169041332070400,1237648702966464577,183.4381,-1.238414,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
323171790111139840,1237648702966530213,183.474,-1.231429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
323167941820442624,1237648702966530219,183.4778,-1.084604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
323167392064628736,1237648702966530252,183.5262,-1.164011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
323168491576256512,1237648702966530271,183.5668,-1.135895,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
323155847192537088,1237648702966661167,183.826,-1.109849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
323144577198352384,1237648702966661296,183.9019,-1.173982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
323145951587887104,1237648702966726812,183.9694,-1.203995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
